Semana,Mes,Data_Inicio,Data_Fim,Temperatura,Dias_da_semana,Sabor,Volume_L
4,8,2025-08-22,2025-08-31,"15,9","6,7,1,2,3,4,5,6,7,1",laranja_e_couve,2
4,8,2025-08-22,2025-08-31,"15,9","6,7,1,2,3,4,5,6,7,1",laranja_e_manga,2
1,9,2025-09-01,2025-09-08,"16,7","2,3,4,5,6,7,1,2",laranja,38
1,9,2025-09-01,2025-09-08,"16,7","2,3,4,5,6,7,1,2",abacaxi,8
1,9,2025-09-01,2025-09-08,"16,7","2,3,4,5,6,7,1,2",abacaxi_com_hortela,8
1,9,2025-09-01,2025-09-08,"16,7","2,3,4,5,6,7,1,2",maracuja,4
1,9,2025-09-01,2025-09-08,"16,7","2,3,4,5,6,7,1,2",limonada_suica,4
2,9,2025-09-09,2025-09-17,"17,2","3,4,5,6,7,1,2,3,4",laranja,64
2,9,2025-09-09,2025-09-17,"17,2","3,4,5,6,7,1,2,3,4",abacaxi,16
2,9,2025-09-09,2025-09-17,"17,2","3,4,5,6,7,1,2,3,4",abacaxi_com_hortela,4
2,9,2025-09-09,2025-09-17,"17,2","3,4,5,6,7,1,2,3,4",morango,2
2,9,2025-09-09,2025-09-17,"17,2","3,4,5,6,7,1,2,3,4",maracuja,2
2,9,2025-09-09,2025-09-17,"17,2","3,4,5,6,7,1,2,3,4",limonada_suica,2
3,9,2025-09-18,2025-09-25,"17,7","5,6,7,1,2,3,4,5",abacaxi,14
3,9,2025-09-18,2025-09-25,"17,7","5,6,7,1,2,3,4,5",laranja,34
3,9,2025-09-18,2025-09-25,"17,7","5,6,7,1,2,3,4,5",morango,4
4,9,2025-09-26,2025-09-30,"16,2","6,7,1,2,3",laranja,34
4,9,2025-09-26,2025-09-30,"16,2","6,7,1,2,3",abacaxi,12
4,9,2025-09-26,2025-09-30,"16,2","6,7,1,2,3",morango,8
4,9,2025-09-26,2025-09-30,"16,2","6,7,1,2,3",abacaxi_com_hortela,8
4,9,2025-09-26,2025-09-30,"16,2","6,7,1,2,3",goiaba,2
4,9,2025-09-26,2025-09-30,"16,2","6,7,1,2,3",limonada_suica,2
4,9,2025-09-26,2025-09-30,"16,2","6,7,1,2,3",butia,2
1,10,2025-10-01,2025-10-06,"20,2","4,5,6,7,1,2",laranja,34
1,10,2025-10-01,2025-10-06,"20,2","4,5,6,7,1,2",abacaxi,6
1,10,2025-10-01,2025-10-06,"20,2","4,5,6,7,1,2",abacaxi_com_hortela,2
2,10,2025-10-07,2025-10-13,18,"3,4,5,6,7,1,2",laranja,46
2,10,2025-10-07,2025-10-13,18,"3,4,5,6,7,1,2",abacaxi,12
2,10,2025-10-07,2025-10-13,18,"3,4,5,6,7,1,2",abacaxi_com_hortela,4
2,10,2025-10-07,2025-10-13,18,"3,4,5,6,7,1,2",limonada_suica,2
2,10,2025-10-07,2025-10-13,18,"3,4,5,6,7,1,2",morango,4
2,10,2025-10-07,2025-10-13,18,"3,4,5,6,7,1,2",laranja_e_couve,2
2,10,2025-10-07,2025-10-13,18,"3,4,5,6,7,1,2",maracuja,2
2,10,2025-10-07,2025-10-13,18,"3,4,5,6,7,1,2",manga,2
3,10,2025-10-14,2025-10-20,"18,8","3,4,5,6,7,1,2",laranja,38
3,10,2025-10-14,2025-10-20,"18,8","3,4,5,6,7,1,2",abacaxi,8
3,10,2025-10-14,2025-10-20,"18,8","3,4,5,6,7,1,2",limonada_suica,38
4,10,2025-10-21,2025-10-27,"19,1","3,4,5,6,7,1,2",laranja,32
4,10,2025-10-21,2025-10-27,"19,1","3,4,5,6,7,1,2",abacaxi,10
4,10,2025-10-21,2025-10-27,"19,1","3,4,5,6,7,1,2",abacaxi_com_hortela,4
4,10,2025-10-21,2025-10-27,"19,1","3,4,5,6,7,1,2",limonada_suica,4
4,10,2025-10-21,2025-10-27,"19,1","3,4,5,6,7,1,2",melancia,2
1,11,2025-10-28,2025-11-03,"16,3","3,4,5,6,7,1,2",laranja,28
1,11,2025-10-28,2025-11-03,"16,3","3,4,5,6,7,1,2",abacaxi,14
1,11,2025-10-28,2025-11-03,"16,3","3,4,5,6,7,1,2",abacaxi_com_hortela,2
1,11,2025-10-28,2025-11-03,"16,3","3,4,5,6,7,1,2",limonada_suica,6
1,11,2025-10-28,2025-11-03,"16,3","3,4,5,6,7,1,2",maracuja,2


